PassengerId,Name,HomePlanet,Destination,Age,AgeGroup,CryoSleep,VIP,Cabin,Deck,CabinNum,Side,Group,GroupSize,IsSolo,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,TotalSpent,HasSpent,SpendCategory,RoomService_Share,FoodCourt_Share,ShoppingMall_Share,Spa_Share,VRDeck_Share,Transported,Pred_Transported,Pred_Proba_Transport,Pred_Proba_NoTransport,Cluster_ID,Cluster_Name,Cluster_Transport_Rate,Cluster_NoTransport_Rate,ACM_Axe1,ACM_Axe2,ACM_Axe3,ACM_Axe4,ACM_Axe5,ACM_Axe6,ACM_Axe7,ACM_Axe8,ACM_Axe9,ACM_Axe10,P_Cluster_0_Cryo_Corps,P_Cluster_1_Colons,P_Cluster_2_Luxuria,P_Cluster_3_Voyageurs_Pro,P_Cluster_4_Jeunes_Nomades,Split,Is_Correct_Prediction
0001_01,Maham Ofracculy,Europa,TRAPPIST-1e,39.0,26-40,0,0,B/0/P,B,0,P,1,1,1,0,0,0,0,0,0,0,Zéro,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1267,0.8733,3,Voyageurs Pro,0.7333,0.2667,0.7109,0.2457,0.0585,-0.3146,-0.135,-0.0947,0.3632,0.5107,-0.1284,-0.1906,0.2097,0.1416,0.1412,0.3468,0.1606,Train,1.0
0002_01,Juanna Vines,Earth,TRAPPIST-1e,24.0,13-25,0,0,F/0/S,F,0,S,2,1,1,109,9,25,549,44,736,1,Faible,0.1481,0.0122,0.034,0.7459,0.0598,1.0,1,0.8033,0.1967,1,Colons,0.3,0.7,-0.4894,-0.456,-0.2467,-0.3096,-0.1003,-0.1914,-0.1913,-0.0493,-0.0306,-0.004,0.0985,0.5057,0.1316,0.1089,0.1554,Train,1.0
0003_01,Altark Susent,Europa,TRAPPIST-1e,58.0,41-60,0,1,A/0/S,A,0,S,3,2,0,43,3576,0,6715,49,10383,1,Élevé,0.0041,0.3444,0.0,0.6467,0.0047,0.0,0,0.0467,0.9533,3,Voyageurs Pro,0.7333,0.2667,1.6707,-0.4952,-0.5978,1.4664,-0.0913,-0.7077,-0.0996,-0.6849,-1.1652,-0.0408,0.226,0.183,0.1712,0.2412,0.1786,Train,1.0
0003_02,Solam Susent,Europa,TRAPPIST-1e,33.0,26-40,0,0,A/0/S,A,0,S,3,2,0,0,1283,371,3329,193,5176,1,Moyen,0.0,0.2479,0.0717,0.6432,0.0373,0.0,0,0.0433,0.9567,3,Voyageurs Pro,0.7333,0.2667,0.9733,-0.3957,-0.0702,1.1351,-0.4242,-1.059,0.2173,0.075,-0.5082,-0.0582,0.1871,0.1871,0.1718,0.2665,0.1876,Train,1.0
0004_01,Willy Santantines,Earth,TRAPPIST-1e,16.0,13-25,0,0,F/1/S,F,1,S,4,1,1,303,70,151,565,2,1091,1,Faible,0.2777,0.0642,0.1384,0.5179,0.0018,1.0,1,0.7933,0.2067,1,Colons,0.3,0.7,-0.4894,-0.456,-0.2467,-0.3096,-0.1003,-0.1914,-0.1913,-0.0493,-0.0306,-0.004,0.0985,0.5057,0.1316,0.1089,0.1554,Train,1.0
0005_01,Sandie Hinetthews,Earth,PSO J318.5-22,44.0,41-60,0,0,F/0/P,F,0,P,5,1,1,0,483,0,291,0,774,1,Faible,0.0,0.624,0.0,0.376,0.0,1.0,1,0.81,0.19,1,Colons,0.3,0.7,-0.4874,-0.3249,-0.4826,0.0448,-0.3981,0.4371,-0.3315,-0.1075,0.0311,0.2724,0.1333,0.3707,0.1844,0.136,0.1755,Train,1.0
0006_01,Billex Jacostaffey,Earth,TRAPPIST-1e,26.0,26-40,0,0,F/2/S,F,2,S,6,2,0,42,1539,3,0,0,1584,1,Faible,0.0265,0.9716,0.0019,0.0,0.0,1.0,1,0.9133,0.0867,1,Colons,0.3,0.7,-0.3211,-0.4785,-0.1699,-0.1197,0.1739,-0.0907,-0.0255,-0.1387,-0.2241,-0.0994,0.0998,0.515,0.1224,0.0996,0.1632,Train,1.0
0006_02,Candra Jacostaffey,Earth,TRAPPIST-1e,28.0,26-40,1,0,G/0/S,G,0,S,6,2,0,0,0,0,0,306,306,1,Faible,0.0,0.0,0.0,0.0,1.0,1.0,1,0.7967,0.2033,2,Luxuria,0.638,0.362,-0.3521,0.2732,-0.1721,0.0717,0.1361,-0.0086,0.2563,-0.2066,-0.1353,-0.044,0.1137,0.2572,0.3482,0.1221,0.1588,Train,1.0
0007_01,Andona Beston,Earth,TRAPPIST-1e,35.0,26-40,0,0,F/3/S,F,3,S,7,1,1,0,785,17,216,0,1018,1,Faible,0.0,0.7711,0.0167,0.2122,0.0,1.0,1,0.8267,0.1733,1,Colons,0.3,0.7,-0.3211,-0.4785,-0.1699,-0.1197,0.1739,-0.0907,-0.0255,-0.1387,-0.2241,-0.0994,0.0998,0.515,0.1224,0.0996,0.1632,Train,1.0
0008_01,Erraiam Flatic,Europa,55 Cancri e,14.0,13-25,1,0,B/1/P,B,1,P,8,3,0,0,0,0,0,0,0,0,Zéro,0.0,0.0,0.0,0.0,0.0,1.0,1,0.9567,0.0433,3,Voyageurs Pro,0.7333,0.2667,0.7512,0.7782,0.0433,-0.6968,-0.7219,-0.0769,0.0481,0.613,-0.0829,-0.1028,0.1881,0.1581,0.1802,0.3073,0.1664,Train,1.0
0008_02,Altardr Flatic,Europa,TRAPPIST-1e,34.0,26-40,1,0,B/1/P,B,1,P,8,3,0,0,0,174,0,0,174,1,Faible,0.0,0.0,1.0,0.0,0.0,1.0,1,0.9667,0.0333,3,Voyageurs Pro,0.7333,0.2667,0.6005,0.23,0.0189,-0.4748,-0.2434,-0.0157,0.4145,0.4679,-0.1915,-0.2285,0.2054,0.1616,0.1543,0.3044,0.1744,Train,1.0
0008_03,Wezena Flatic,Europa,55 Cancri e,45.0,41-60,0,0,B/1/P,B,1,P,8,3,0,39,7295,589,110,124,8157,1,Élevé,0.0048,0.8943,0.0722,0.0135,0.0152,1.0,1,0.94,0.06,0,Cryo Corps,0.588,0.412,1.3762,0.0097,-0.6415,-0.5974,-0.0101,-0.037,-0.267,0.3662,0.0916,0.3163,0.3395,0.1499,0.1333,0.2369,0.1403,Train,1.0
0009_01,Berers Barne,Mars,TRAPPIST-1e,32.0,26-40,0,0,F/1/P,F,1,P,9,1,1,73,0,1123,0,113,1309,1,Faible,0.0558,0.0,0.8579,0.0,0.0863,1.0,1,0.7867,0.2133,4,Jeunes Nomades,0.5341,0.4659,-0.2347,-0.6583,0.44,-0.1179,0.238,0.2435,-0.0764,0.1487,-0.3236,-0.2319,0.1271,0.2327,0.1375,0.1214,0.3813,Train,1.0
0010_01,Reney Baketton,Earth,TRAPPIST-1e,48.0,41-60,0,0,G/1/S,G,1,S,10,1,1,719,1,65,0,24,809,1,Faible,0.8888,0.0012,0.0803,0.0,0.0297,0.0,0,0.1667,0.8333,1,Colons,0.3,0.7,-0.3592,-0.1254,-0.4069,0.0981,0.1372,-0.343,-0.1517,-0.2456,0.2876,0.501,0.1166,0.4144,0.1882,0.1287,0.152,Train,1.0
0011_01,Elle Bertsontry,Earth,TRAPPIST-1e,28.0,26-40,0,0,F/2/P,F,2,P,11,1,1,8,974,12,2,7,1003,1,Faible,0.008,0.9711,0.012,0.002,0.007,1.0,1,0.77,0.23,1,Colons,0.3,0.7,-0.3408,-0.4983,-0.1621,-0.0228,0.182,0.1452,-0.007,0.2146,-0.2379,-0.1882,0.1102,0.4711,0.134,0.103,0.1817,Train,1.0
0012_01,Justie Pooles,Earth,TRAPPIST-1e,31.0,26-40,0,0,,F,82,S,12,1,1,32,0,876,0,0,908,1,Faible,0.0352,0.0,0.9648,0.0,0.0,0.0,0,0.22,0.78,1,Colons,0.3,0.7,-0.3211,-0.4785,-0.1699,-0.1197,0.1739,-0.0907,-0.0255,-0.1387,-0.2241,-0.0994,0.0998,0.515,0.1224,0.0996,0.1632,Train,1.0
0014_01,Flats Eccle,Mars,55 Cancri e,27.0,26-40,0,0,F/3/P,F,3,P,14,1,1,1286,122,174,0,0,1582,1,Faible,0.8129,0.0771,0.11,0.0,0.0,0.0,0,0.0967,0.9033,4,Jeunes Nomades,0.5341,0.4659,-0.0379,-0.5479,0.2939,-0.196,0.0212,0.2796,-0.268,0.1928,-0.4149,-0.1882,0.133,0.2401,0.1327,0.1294,0.3648,Train,1.0
0015_01,Carry Hughriend,Earth,55 Cancri e,24.0,13-25,0,0,F/4/P,F,4,P,15,1,1,0,1,0,0,637,638,1,Faible,0.0,0.0016,0.0,0.0,0.9984,0.0,0,0.0867,0.9133,1,Colons,0.3,0.7,-0.3124,-0.3653,-0.3849,-0.2909,-0.309,0.0807,-0.3645,0.3481,-0.1357,-0.049,0.1141,0.4635,0.1425,0.1239,0.156,Train,1.0
0016_01,Alus Upead,Mars,TRAPPIST-1e,45.0,41-60,1,0,F/5/P,F,5,P,16,1,1,0,0,0,0,0,0,0,Zéro,0.0,0.0,0.0,0.0,0.0,1.0,1,0.9667,0.0333,4,Jeunes Nomades,0.5341,0.4659,-0.0958,0.1575,0.8677,-0.2737,0.0598,0.0769,-0.4086,0.059,-0.0078,0.1971,0.1249,0.1618,0.1754,0.1473,0.3906,Train,1.0
0017_01,Lyde Brighttt,Earth,TRAPPIST-1e,0.0,nan,0,0,G/0/P,G,0,P,17,2,0,0,0,0,0,0,0,0,Zéro,0.0,0.0,0.0,0.0,0.0,1.0,1,0.8933,0.1067,2,Luxuria,0.638,0.362,-0.4714,0.5804,-0.0283,0.6973,0.8288,-0.3745,-1.1228,0.8398,-0.2359,-0.8693,0.1537,0.2016,0.3042,0.1558,0.1847,Train,1.0
0017_02,Philda Brighttt,Earth,55 Cancri e,14.0,13-25,0,0,F/6/P,F,6,P,17,2,0,412,0,1,0,679,1092,1,Faible,0.3773,0.0,0.0009,0.0,0.6218,0.0,0,0.08,0.92,1,Colons,0.3,0.7,-0.3124,-0.3653,-0.3849,-0.2909,-0.309,0.0807,-0.3645,0.3481,-0.1357,-0.049,0.1141,0.4635,0.1425,0.1239,0.156,Train,1.0
0020_01,Almary Brantuarez,Earth,TRAPPIST-1e,1.0,0-12,1,0,E/0/S,E,0,S,20,6,0,0,0,0,0,0,0,0,Zéro,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.8,2,Luxuria,0.638,0.362,-0.334,0.6877,0.4274,0.0366,0.6282,-0.5927,0.7442,-0.4377,0.0301,0.3411,0.1473,0.1878,0.2888,0.1692,0.2069,Train,1.0
0020_02,Glendy Brantuarez,Earth,55 Cancri e,49.0,41-60,1,0,E/0/S,E,0,S,20,6,0,0,0,0,0,0,0,0,Zéro,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1667,0.8333,2,Luxuria,0.638,0.362,0.0786,0.4431,0.1551,-0.3996,0.0008,-0.4648,0.2867,-0.3808,-0.0181,0.4054,0.1514,0.1934,0.2292,0.2276,0.1983,Train,1.0
0020_03,Mollen Mcfaddennon,Earth,55 Cancri e,29.0,26-40,1,0,E/0/S,E,0,S,20,6,0,0,0,174,0,0,174,1,Faible,0.0,0.0,1.0,0.0,0.0,0.0,0,0.23,0.77,1,Colons,0.3,0.7,-0.0484,0.0268,-0.0651,-0.3579,0.0831,-0.2159,0.6613,-0.3223,-0.3906,-0.075,0.1455,0.2872,0.1925,0.169,0.2057,Train,1.0
0020_04,Breney Jacostanley,Earth,TRAPPIST-1e,10.0,0-12,0,0,E/0/S,E,0,S,20,6,0,0,0,0,0,0,0,0,Zéro,0.0,0.0,0.0,0.0,0.0,1.0,1,0.7433,0.2567,2,Luxuria,0.638,0.362,-0.3458,0.2881,0.2197,0.1508,0.7242,-0.675,0.7019,-0.4066,0.0868,0.3924,0.1506,0.2161,0.2546,0.1655,0.2132,Train,1.0
0020_05,Mael Brantuarez,Earth,PSO J318.5-22,1.0,0-12,1,0,E/0/S,E,0,S,20,6,0,222,0,0,0,0,222,1,Faible,1.0,0.0,0.0,0.0,0.0,0.0,0,0.1233,0.8767,2,Luxuria,0.638,0.362,-0.6075,0.4448,-0.1133,0.1459,0.1306,-0.0519,0.7943,-0.7013,-0.0734,0.3213,0.0971,0.1988,0.4556,0.1078,0.1407,Train,1.0
0020_06,Terta Mcfaddennon,Earth,TRAPPIST-1e,7.0,0-12,0,0,E/0/S,E,0,S,20,6,0,0,0,0,0,0,0,0,Zéro,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3267,0.6733,2,Luxuria,0.638,0.362,-0.3458,0.2881,0.2197,0.1508,0.7242,-0.675,0.7019,-0.4066,0.0868,0.3924,0.1506,0.2161,0.2546,0.1655,0.2132,Train,1.0
0022_01,,Mars,TRAPPIST-1e,21.0,13-25,0,0,D/0/P,D,0,P,22,1,1,980,2,69,0,0,1051,1,Faible,0.9324,0.0019,0.0657,0.0,0.0,0.0,0,0.0533,0.9467,4,Jeunes Nomades,0.5341,0.4659,-0.1476,-0.695,0.7766,0.2259,-0.286,0.6479,-0.0914,0.1535,0.2811,0.2373,0.143,0.2031,0.157,0.1488,0.3481,Train,1.0
0024_01,Penton Fullided,Europa,TRAPPIST-1e,62.0,60+,1,0,C/2/S,C,2,S,24,1,1,0,0,174,0,0,174,1,Faible,0.0,0.0,1.0,0.0,0.0,1.0,1,0.98,0.02,0,Cryo Corps,0.588,0.412,0.6401,0.1445,-0.1556,-0.1493,0.2982,-0.0273,0.1429,-0.5687,1.6371,-1.4094,0.3239,0.1574,0.1494,0.2117,0.1576,Train,1.0
0025_01,Karard Brookenson,Earth,TRAPPIST-1e,15.0,13-25,0,0,F/6/S,F,6,S,25,1,1,0,225,0,998,0,1223,1,Faible,0.0,0.184,0.0,0.816,0.0,0.0,0,0.07,0.93,1,Colons,0.3,0.7,-0.4894,-0.456,-0.2467,-0.3096,-0.1003,-0.1914,-0.1913,-0.0493,-0.0306,-0.004,0.0985,0.5057,0.1316,0.1089,0.1554,Train,1.0
0026_01,Anyoni Unconary,Europa,55 Cancri e,34.0,26-40,0,0,C/0/P,C,0,P,26,1,1,22,6073,0,1438,328,7861,1,Élevé,0.0028,0.7725,0.0,0.1829,0.0417,0.0,0,0.2467,0.7533,0,Cryo Corps,0.588,0.412,1.4125,-0.0917,-0.7794,-0.2341,0.8314,0.7805,-0.2552,-0.1179,-0.104,-0.174,0.3913,0.1529,0.1419,0.1668,0.1471,Train,1.0
0028_01,Ceros Mare,Mars,TRAPPIST-1e,43.0,41-60,0,0,F/8/P,F,8,P,28,1,1,1125,0,136,48,0,1309,1,Faible,0.8594,0.0,0.1039,0.0367,0.0,0.0,0,0.08,0.92,4,Jeunes Nomades,0.5341,0.4659,-0.2299,-0.6574,0.4128,-0.2056,0.1432,-0.0087,-0.442,0.0785,0.0425,0.2618,0.121,0.2473,0.134,0.1259,0.3718,Train,1.0
0030_01,Ginia Morsentley,Earth,TRAPPIST-1e,32.0,26-40,0,0,G/4/S,G,4,S,30,1,1,0,850,81,437,453,1821,1,Faible,0.0,0.4668,0.0445,0.24,0.2488,0.0,0,0.0967,0.9033,1,Colons,0.3,0.7,-0.364,-0.1264,-0.3798,0.1858,0.2321,-0.0909,0.2139,-0.1754,-0.0786,0.0073,0.118,0.417,0.1934,0.1174,0.1542,Train,1.0
0031_01,Coobix Datie,Mars,TRAPPIST-1e,47.0,41-60,0,0,F/9/P,F,9,P,31,3,0,214,0,1411,0,1229,2854,1,Moyen,0.075,0.0,0.4944,0.0,0.4306,1.0,1,0.7,0.3,4,Jeunes Nomades,0.5341,0.4659,0.0866,-0.7152,0.6341,0.1469,-0.0613,-0.1025,-0.4485,0.2012,0.3024,0.372,0.126,0.1908,0.1286,0.1475,0.4071,Train,1.0
